File,Line,Text,Suggested Key,Priority,Category,Visibility Score,Frequency
"components\tickets\dialogs\TicketDialog.tsx",1014,"Cancel","dialogs.ticketdialog.cancel","high","ui_text",25,12
"components\tickets\TaskManagement.tsx",371,"Cancel","tickets.taskmanagement.cancel","high","ui_text",25,13
"components\ui\LoadingFallback.tsx",55,"Cancel","ui.loadingfallback.cancel","high","ui_text",25,14
"components\ui\LoadingFallback.tsx",92,"Cancel","ui.loadingfallback.cancel","high","ui_text",25,15
"hooks\useConsolidatedLoading.ts",228,"Promise","hooks.useconsolidatedloading.promise","high","ui_text",25,12
"hooks\useErrorRecovery.ts",49,"Promise","hooks.useerrorrecovery.promise","high","ui_text",25,13
"hooks\useErrorRecovery.ts",132,"Promise","hooks.useerrorrecovery.promise","high","ui_text",25,14
"hooks\useRetryableAction.ts",19,"Promise","hooks.useretryableaction.promise","high","ui_text",25,15
"hooks\useRetryableAction.ts",220,"Promise","hooks.useretryableaction.promise","high","ui_text",25,16
"hooks\useRetryableAction.ts",236,"Promise","hooks.useretryableaction.promise","high","ui_text",25,17
"hooks\useRetryableQuery.ts",18,"Promise","hooks.useretryablequery.promise","high","ui_text",25,18
"hooks\useSessionAwareQuery.ts",7,"Promise","hooks.usesessionawarequery.promise","high","ui_text",25,19
"hooks\useUserManagementLoading.ts",34,"Promise","hooks.useusermanagementloading.promise","high","ui_text",25,20
"hooks\useUserManagementLoading.ts",44,"Promise","hooks.useusermanagementloading.promise","high","ui_text",25,21
"hooks\useUserManagementLoading.ts",55,"Promise","hooks.useusermanagementloading.promise","high","ui_text",25,22
"hooks\useUserManagementLoading.ts",70,"Promise","hooks.useusermanagementloading.promise","high","ui_text",25,23
"hooks\useUserManagementLoading.ts",80,"Promise","hooks.useusermanagementloading.promise","high","ui_text",25,24
"hooks\useUserManagementLoading.ts",90,"Promise","hooks.useusermanagementloading.promise","high","ui_text",25,25
"lib\networkErrorHandler.ts",79,"Promise","lib.networkerrorhandler.promise","high","ui_text",25,26
"lib\networkErrorHandler.ts",81,"Promise","lib.networkerrorhandler.promise","high","ui_text",25,27
"lib\networkErrorHandler.ts",155,"Promise","lib.networkerrorhandler.promise","high","ui_text",25,28
"lib\queryUtils.ts",14,"Promise","lib.queryutils.promise","high","ui_text",25,29
"services\gracefulDegradationService.ts",124,"Promise","services.gracefuldegradationservice.promise","high","ui_text",25,30
"components\admin\CategoryManagement.tsx",625,"Button","admin.categorymanagement.button","high","interactive",24,12
"components\admin\CategoryManagement.tsx",681,"Button","admin.categorymanagement.button","high","interactive",24,13
"components\admin\CategoryManagement.tsx",882,"Button","admin.categorymanagement.button","high","interactive",24,14
"components\admin\CategoryManagement.tsx",891,"Button","admin.categorymanagement.button","high","interactive",24,15
"components\admin\knowledge\ArticleEditor.tsx",218,"Button","knowledge.articleeditor.button","high","interactive",24,16
"components\admin\knowledge\ArticleList.tsx",195,"Button","knowledge.articlelist.button","high","interactive",24,17
"components\admin\knowledge\CategoryManager.tsx",258,"Button","knowledge.categorymanager.button","high","interactive",24,18
"components\admin\knowledge\CategoryManager.tsx",351,"Button","knowledge.categorymanager.button","high","interactive",24,19
"components\admin\knowledge\KnowledgeBaseAdmin.tsx",184,"Button","knowledge.knowledgebaseadmin.button","high","interactive",24,20
"components\admin\SubcategoriesSection.tsx",165,"Button","admin.subcategoriessection.button","high","interactive",24,21
"components\admin\SubcategoriesSection.tsx",184,"Button","admin.subcategoriessection.button","high","interactive",24,22
"components\admin\UserDataErrorState.tsx",191,"Button","admin.userdataerrorstate.button","high","interactive",24,23
"components\admin\UserDataErrorState.tsx",199,"Button","admin.userdataerrorstate.button","high","interactive",24,24
"components\admin\UserManagement.tsx",659,"Button","admin.usermanagement.button","high","interactive",24,25
"components\admin\UserManagement.tsx",668,"Button","admin.usermanagement.button","high","interactive",24,26
"components\admin\UserManagementErrorBoundary.tsx",314,"Button","admin.usermanagementerrorboundary.button","high","interactive",24,27
"components\admin\UserManagementErrorBoundary.tsx",322,"Button","admin.usermanagementerrorboundary.button","high","interactive",24,28
"components\admin\UserManagementLoadingIndicator.tsx",193,"Button","admin.usermanagementloadingindicator.button","high","interactive",24,29
"components\admin\UserManagementLoadingIndicator.tsx",202,"Button","admin.usermanagementloadingindicator.button","high","interactive",24,30
"components\admin\UserManagementLoadingIndicator.tsx",259,"Button","admin.usermanagementloadingindicator.button","high","interactive",24,31
"components\admin\WorkloadDashboard.tsx",167,"Button","admin.workloaddashboard.button","high","interactive",24,32
"components\auth\ConnectionMonitor.tsx",154,"Button","auth.connectionmonitor.button","high","interactive",24,33
"components\auth\SessionTimeoutAdminDebug.tsx",168,"Button","auth.sessiontimeoutadmindebug.button","high","interactive",24,34
"components\auth\SessionTimeoutAdminDebug.tsx",178,"Button","auth.sessiontimeoutadmindebug.button","high","interactive",24,35
"components\auth\SessionTimeoutAdminDebug.tsx",188,"Button","auth.sessiontimeoutadmindebug.button","high","interactive",24,36
"components\auth\SessionTimeoutAdminDebug.tsx",198,"Button","auth.sessiontimeoutadmindebug.button","high","interactive",24,37
"components\auth\SessionTimeoutAdminDebug.tsx",208,"Button","auth.sessiontimeoutadmindebug.button","high","interactive",24,38
"components\auth\SessionTimeoutAdminDebug.tsx",219,"Button","auth.sessiontimeoutadmindebug.button","high","interactive",24,39
"components\auth\SessionTimeoutConfig.tsx",98,"Button","auth.sessiontimeoutconfig.button","high","interactive",24,40
"components\auth\SessionTimeoutConfig.tsx",155,"Button","auth.sessiontimeoutconfig.button","high","interactive",24,41
"components\auth\SessionTimeoutConfig.tsx",164,"Button","auth.sessiontimeoutconfig.button","high","interactive",24,42
"components\auth\SessionTimeoutWarning.tsx",123,"Button","auth.sessiontimeoutwarning.button","high","interactive",24,43
"components\chat\EnhancedTicketChat.tsx",426,"Button","chat.enhancedticketchat.button","high","interactive",24,44
"components\chat\ModernTicketChat.backup.tsx",450,"Button","chat.modernticketchat.backup.button","high","interactive",24,45
"components\chat\ModernTicketChat.backup.tsx",508,"Button","chat.modernticketchat.backup.button","high","interactive",24,46
"components\chat\ModernTicketChat.backup.tsx",882,"Button","chat.modernticketchat.backup.button","high","interactive",24,47
"components\chat\ModernTicketChat.tsx",397,"Button","chat.modernticketchat.button","high","interactive",24,48
"components\chat\ModernTicketChat.tsx",758,"Button","chat.modernticketchat.button","high","interactive",24,49
"components\chat\TicketChat.tsx",657,"Button","chat.ticketchat.button","high","interactive",24,50
"components\chat\TicketChat.tsx",660,"Button","chat.ticketchat.button","high","interactive",24,51
"components\dashboard\ChartContainer.tsx",73,"Button","dashboard.chartcontainer.button","high","interactive",24,52
"components\dashboard\ChartContainerUsageExample.tsx",88,"Button","dashboard.chartcontainerusageexample.button","high","interactive",24,53
"components\dashboard\ChartContainerUsageExample.tsx",92,"Button","dashboard.chartcontainerusageexample.button","high","interactive",24,54
"components\dashboard\ChartContainerUsageExample.tsx",107,"Button","dashboard.chartcontainerusageexample.button","high","interactive",24,55
"components\dashboard\ChartContainerUsageExample.tsx",139,"Button","dashboard.chartcontainerusageexample.button","high","interactive",24,56
"components\dashboard\ChartContainerUsageExample.tsx",143,"Button","dashboard.chartcontainerusageexample.button","high","interactive",24,57
"components\dashboard\ChartContainerUsageExample.tsx",167,"Button","dashboard.chartcontainerusageexample.button","high","interactive",24,58
"components\dashboard\ChartContainerUsageExample.tsx",170,"Button","dashboard.chartcontainerusageexample.button","high","interactive",24,59
"components\dashboard\ChartContainerUsageExample.tsx",174,"Button","dashboard.chartcontainerusageexample.button","high","interactive",24,60
"components\dashboard\DetailedAnalytics.tsx",2117,"Button","dashboard.detailedanalytics.button","high","interactive",24,61
"components\dashboard\TicketCharts.tsx",144,"Button","dashboard.ticketcharts.button","high","interactive",24,62
"components\dashboard\TicketCharts.tsx",203,"Button","dashboard.ticketcharts.button","high","interactive",24,63
"components\dashboard\TicketCharts.tsx",211,"Button","dashboard.ticketcharts.button","high","interactive",24,64
"components\dashboard\TicketCharts.tsx",262,"Button","dashboard.ticketcharts.button","high","interactive",24,65
"components\dashboard\TicketCharts.tsx",269,"Button","dashboard.ticketcharts.button","high","interactive",24,66
"components\dashboard\TicketCharts.tsx",277,"Button","dashboard.ticketcharts.button","high","interactive",24,67
"components\debug\NotificationDebugger.tsx",266,"Button","debug.notificationdebugger.button","high","interactive",24,68
"components\debug\NotificationDebugger.tsx",275,"Button","debug.notificationdebugger.button","high","interactive",24,69
"components\debug\NotificationDebugger.tsx",284,"Button","debug.notificationdebugger.button","high","interactive",24,70
"components\debug\NotificationDebugger.tsx",293,"Button","debug.notificationdebugger.button","high","interactive",24,71
"components\debug\NotificationDebugger.tsx",297,"Button","debug.notificationdebugger.button","high","interactive",24,72
"components\debug\NotificationDebugger.tsx",301,"Button","debug.notificationdebugger.button","high","interactive",24,73
"components\debug\NotificationDebugger.tsx",360,"Button","debug.notificationdebugger.button","high","interactive",24,74
"components\debug\SubscriptionDebugger.tsx",310,"Button","debug.subscriptiondebugger.button","high","interactive",24,75
"components\debug\SubscriptionDebugger.tsx",314,"Button","debug.subscriptiondebugger.button","high","interactive",24,76
"components\debug\SubscriptionDebugger.tsx",318,"Button","debug.subscriptiondebugger.button","high","interactive",24,77
"components\debug\TestRunner.tsx",308,"Button","debug.testrunner.button","high","interactive",24,78
"components\examples\ConsolidatedLoadingExample.tsx",148,"Button","examples.consolidatedloadingexample.button","high","interactive",24,79
"components\examples\ConsolidatedLoadingExample.tsx",156,"Button","examples.consolidatedloadingexample.button","high","interactive",24,80
"components\examples\ConsolidatedLoadingExample.tsx",164,"Button","examples.consolidatedloadingexample.button","high","interactive",24,81
"components\examples\ConsolidatedLoadingExample.tsx",172,"Button","examples.consolidatedloadingexample.button","high","interactive",24,82
"components\examples\ConsolidatedLoadingExample.tsx",180,"Button","examples.consolidatedloadingexample.button","high","interactive",24,83
"components\examples\ConsolidatedLoadingExample.tsx",188,"Button","examples.consolidatedloadingexample.button","high","interactive",24,84
"components\knowledge\KnowledgeArticleView.tsx",381,"Button","knowledge.knowledgearticleview.button","high","interactive",24,85
"components\knowledge\KnowledgeArticleView.tsx",398,"Button","knowledge.knowledgearticleview.button","high","interactive",24,86
"components\knowledge\KnowledgeArticleView.tsx",402,"Button","knowledge.knowledgearticleview.button","high","interactive",24,87
"components\knowledge\KnowledgeArticleView.tsx",485,"Button","knowledge.knowledgearticleview.button","high","interactive",24,88